epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.502,1.71422,2.68204,1.91104,0.33597,0.41908,0.32268,0.14243,1.90921,3.08333,2.23784,0.000414654,0.000414654,0.000414654
2,195.943,1.79258,2.45582,1.99229,0.19563,0.19257,0.1321,0.05102,2.15502,4.40466,2.50061,0.00082309,0.00082309,0.00082309
3,286.1,1.78513,2.41533,1.97756,0.36065,0.31845,0.30632,0.14351,1.86468,3.10905,2.21411,0.00122328,0.00122328,0.00122328
4,379.184,1.73462,2.27336,1.93876,0.53148,0.42575,0.41305,0.19531,1.84303,2.36725,2.16602,0.00121287,0.00121287,0.00121287
5,475.163,1.67197,2.09625,1.88162,0.63372,0.59773,0.64216,0.32618,1.58272,1.70271,1.92436,0.0012005,0.0012005,0.0012005
6,567.538,1.6209,1.91519,1.82288,0.72122,0.6059,0.67527,0.36051,1.62387,1.46623,1.8903,0.00118812,0.00118812,0.00118812
7,660.07,1.57542,1.82794,1.79701,0.69798,0.58732,0.67875,0.37083,1.59934,1.55485,1.91134,0.00117575,0.00117575,0.00117575
8,751.863,1.54356,1.73839,1.78125,0.69499,0.72946,0.75881,0.39361,1.58305,1.39158,1.91126,0.00116337,0.00116337,0.00116337
9,841.67,1.49754,1.65704,1.73515,0.73481,0.71892,0.77638,0.42106,1.58065,1.23717,1.90044,0.001151,0.001151,0.001151
10,931.828,1.4887,1.5764,1.72644,0.77081,0.73977,0.7988,0.48043,1.41507,1.14396,1.72731,0.00113863,0.00113863,0.00113863
11,1026.5,1.45795,1.5226,1.70071,0.69349,0.69801,0.69631,0.40018,1.47583,1.26825,1.78889,0.00112625,0.00112625,0.00112625
12,1115.81,1.44163,1.49624,1.68227,0.77496,0.73618,0.80921,0.45392,1.54572,1.23537,1.85738,0.00111388,0.00111388,0.00111388
13,1205.77,1.42995,1.43742,1.66629,0.823,0.7603,0.84218,0.49894,1.38792,1.04323,1.71401,0.0011015,0.0011015,0.0011015
14,1305.4,1.38804,1.3803,1.63974,0.80823,0.77486,0.8459,0.51959,1.375,1.0223,1.66068,0.00108913,0.00108913,0.00108913
15,1397.88,1.37009,1.32335,1.61266,0.83577,0.74718,0.84204,0.49958,1.43143,1.01764,1.72181,0.00107675,0.00107675,0.00107675
16,1488.52,1.35748,1.3149,1.61602,0.81474,0.80043,0.87413,0.54275,1.35984,0.97311,1.66823,0.00106437,0.00106437,0.00106437
17,1578.46,1.341,1.2553,1.59144,0.76872,0.80003,0.81293,0.49764,1.38339,0.96479,1.67989,0.001052,0.001052,0.001052
18,1668.47,1.31484,1.23023,1.57524,0.81263,0.73326,0.82513,0.47454,1.55948,1.06901,1.84272,0.00103962,0.00103962,0.00103962
19,1759.89,1.32526,1.23201,1.59298,0.84428,0.82498,0.88531,0.54095,1.34813,0.88075,1.62132,0.00102725,0.00102725,0.00102725
20,1851.81,1.28856,1.16459,1.55446,0.84543,0.82919,0.88461,0.55685,1.3578,0.86759,1.66877,0.00101488,0.00101488,0.00101488
21,1943.7,1.28268,1.13947,1.5439,0.83382,0.83271,0.88371,0.56265,1.29934,0.84163,1.6177,0.0010025,0.0010025,0.0010025
22,2033.68,1.25453,1.10361,1.51929,0.84126,0.79694,0.86772,0.55245,1.30045,0.88891,1.6027,0.000990125,0.000990125,0.000990125
23,2122.03,1.24164,1.1065,1.51778,0.81721,0.85883,0.89222,0.55736,1.28619,0.85199,1.57946,0.00097775,0.00097775,0.00097775
24,2212.54,1.25307,1.08997,1.52213,0.87038,0.8135,0.88669,0.5654,1.28718,0.8204,1.60515,0.000965375,0.000965375,0.000965375
25,2304.98,1.21327,1.04906,1.48913,0.86845,0.77212,0.87798,0.57027,1.27368,0.83385,1.60231,0.000953,0.000953,0.000953
26,2400.27,1.21981,1.06329,1.49857,0.87284,0.83125,0.88675,0.58528,1.25873,0.78624,1.5656,0.000940625,0.000940625,0.000940625
27,2493.57,1.1923,1.01328,1.47144,0.87997,0.86564,0.91803,0.59343,1.25593,0.75619,1.54852,0.00092825,0.00092825,0.00092825
28,2590.46,1.19671,1.0128,1.46532,0.8656,0.88253,0.91447,0.59562,1.26378,0.73184,1.58345,0.000915875,0.000915875,0.000915875
29,2682.41,1.17748,0.98432,1.45744,0.90545,0.81356,0.90799,0.60078,1.22191,0.74188,1.53266,0.0009035,0.0009035,0.0009035
30,2773.58,1.16785,0.96957,1.45512,0.84594,0.88688,0.91047,0.59665,1.22959,0.72292,1.54117,0.000891125,0.000891125,0.000891125
31,2863.82,1.14171,0.92912,1.43483,0.9003,0.80154,0.90661,0.58688,1.28395,0.75556,1.5959,0.00087875,0.00087875,0.00087875
32,2952.84,1.13452,0.92547,1.41605,0.89513,0.81149,0.89692,0.57974,1.25695,0.79267,1.55258,0.000866375,0.000866375,0.000866375
33,3043.02,1.12509,0.92905,1.41425,0.86529,0.87625,0.91827,0.61635,1.18377,0.70727,1.49716,0.000854,0.000854,0.000854
34,3134.21,1.11861,0.90936,1.40023,0.89503,0.87224,0.91993,0.62505,1.20733,0.70939,1.50851,0.000841625,0.000841625,0.000841625
35,3226.26,1.09835,0.87777,1.3886,0.88921,0.85171,0.91079,0.59089,1.24789,0.70812,1.58887,0.00082925,0.00082925,0.00082925
36,3316.9,1.08955,0.86512,1.3957,0.9163,0.86082,0.92095,0.61269,1.19985,0.70419,1.50479,0.000816875,0.000816875,0.000816875
37,3405.62,1.0682,0.84485,1.37115,0.87216,0.89334,0.90734,0.60494,1.24247,0.69978,1.53996,0.0008045,0.0008045,0.0008045
38,3494.38,1.05625,0.84019,1.36136,0.87795,0.89002,0.9232,0.62468,1.18434,0.68613,1.50209,0.000792125,0.000792125,0.000792125
39,3582.79,1.05463,0.82456,1.35762,0.87779,0.89736,0.91773,0.62449,1.15354,0.66827,1.47446,0.00077975,0.00077975,0.00077975
40,3671.55,1.05169,0.82685,1.35305,0.88076,0.88606,0.9192,0.6211,1.18901,0.68023,1.50345,0.000767375,0.000767375,0.000767375
41,3761.97,1.03942,0.81068,1.34801,0.92268,0.8719,0.92588,0.62685,1.18577,0.64696,1.52207,0.000755,0.000755,0.000755
42,3858.1,1.03048,0.79259,1.34179,0.89421,0.89802,0.93283,0.63177,1.1622,0.63525,1.47218,0.000742625,0.000742625,0.000742625
43,3951.14,1.00304,0.76812,1.32541,0.91539,0.87071,0.9296,0.62965,1.17469,0.65444,1.49315,0.00073025,0.00073025,0.00073025
44,4042.45,1.00194,0.77011,1.31617,0.90256,0.85715,0.91854,0.65002,1.13562,0.66285,1.45715,0.000717875,0.000717875,0.000717875
45,4136.19,1.01031,0.76703,1.3233,0.9287,0.8472,0.92343,0.63695,1.15401,0.61934,1.48323,0.0007055,0.0007055,0.0007055
46,4224.84,0.98089,0.74915,1.30621,0.89627,0.89867,0.9305,0.65319,1.14538,0.62032,1.4877,0.000693125,0.000693125,0.000693125
47,4316.96,0.98411,0.74329,1.30434,0.91764,0.85275,0.92633,0.64952,1.14174,0.64208,1.47034,0.00068075,0.00068075,0.00068075
48,4407.74,0.95522,0.72775,1.29458,0.90098,0.86936,0.92781,0.63577,1.15105,0.61637,1.4846,0.000668375,0.000668375,0.000668375
49,4498.89,0.95844,0.73032,1.29553,0.91757,0.84016,0.91341,0.63607,1.13286,0.64299,1.48019,0.000656,0.000656,0.000656
50,4589.7,0.94227,0.70078,1.26749,0.92891,0.86855,0.92567,0.6459,1.1476,0.62735,1.47573,0.000643625,0.000643625,0.000643625
51,4678.4,0.92391,0.69365,1.26705,0.91534,0.86923,0.91871,0.64506,1.10602,0.60313,1.45634,0.00063125,0.00063125,0.00063125
52,4767.25,0.91744,0.68627,1.26463,0.908,0.88688,0.925,0.65278,1.11025,0.60967,1.46603,0.000618875,0.000618875,0.000618875
53,4855.46,0.92575,0.68034,1.25762,0.92509,0.86546,0.92698,0.65633,1.12552,0.61343,1.46254,0.0006065,0.0006065,0.0006065
54,4948.77,0.90736,0.67207,1.25428,0.90912,0.87403,0.92726,0.647,1.13342,0.61299,1.4852,0.000594125,0.000594125,0.000594125
55,5037.29,0.90365,0.6587,1.24674,0.91073,0.89279,0.93359,0.65517,1.11453,0.60971,1.46643,0.00058175,0.00058175,0.00058175
56,5125.73,0.90169,0.65721,1.23502,0.89865,0.89219,0.92899,0.65098,1.12033,0.60642,1.45462,0.000569375,0.000569375,0.000569375
57,5214.3,0.87495,0.63673,1.23065,0.90556,0.90181,0.92931,0.65632,1.10678,0.60729,1.45011,0.000557,0.000557,0.000557
58,5302.98,0.86317,0.63899,1.22581,0.91428,0.88317,0.92929,0.65966,1.10802,0.57467,1.45004,0.000544625,0.000544625,0.000544625
59,5392.47,0.85408,0.63715,1.21206,0.93518,0.88112,0.93762,0.67003,1.10293,0.58956,1.44935,0.00053225,0.00053225,0.00053225
60,5483.84,0.85203,0.62027,1.20909,0.92803,0.88386,0.93137,0.66412,1.10742,0.57483,1.44792,0.000519875,0.000519875,0.000519875
61,5574.88,0.8511,0.61357,1.21028,0.90166,0.87835,0.92642,0.65577,1.10653,0.59664,1.46547,0.0005075,0.0005075,0.0005075
62,5666.61,0.83217,0.60617,1.1981,0.9212,0.86261,0.93274,0.66526,1.0918,0.57983,1.43744,0.000495125,0.000495125,0.000495125
63,5757.65,0.82098,0.58836,1.18761,0.91608,0.87328,0.93514,0.66237,1.09136,0.59721,1.45222,0.00048275,0.00048275,0.00048275
64,5848.22,0.82068,0.5891,1.18669,0.90053,0.89687,0.93278,0.66584,1.07481,0.59188,1.42915,0.000470375,0.000470375,0.000470375
65,5938.93,0.80194,0.58072,1.18004,0.91431,0.89373,0.93779,0.68548,1.05435,0.562,1.40746,0.000458,0.000458,0.000458
66,6037.3,0.80157,0.58535,1.17258,0.9185,0.86708,0.93412,0.67371,1.07858,0.57574,1.43082,0.000445625,0.000445625,0.000445625
67,6125.9,0.80064,0.57783,1.17929,0.93078,0.86227,0.9314,0.67058,1.06566,0.57948,1.41914,0.00043325,0.00043325,0.00043325
68,6214.32,0.78101,0.56471,1.16578,0.93513,0.86495,0.93772,0.67162,1.05735,0.55323,1.42549,0.000420875,0.000420875,0.000420875
69,6302.78,0.79059,0.57475,1.17606,0.92627,0.87888,0.93571,0.68493,1.06555,0.55774,1.43451,0.0004085,0.0004085,0.0004085
70,6391.26,0.77086,0.55714,1.16227,0.92228,0.87578,0.93575,0.67778,1.06888,0.56004,1.43597,0.000396125,0.000396125,0.000396125
71,6479.73,0.76944,0.5595,1.15071,0.92336,0.8876,0.93786,0.67984,1.04652,0.54826,1.41456,0.00038375,0.00038375,0.00038375
72,6568.46,0.76391,0.54492,1.14988,0.91753,0.87187,0.93227,0.68573,1.03731,0.56157,1.40399,0.000371375,0.000371375,0.000371375
73,6657.36,0.74308,0.53068,1.13742,0.92226,0.87212,0.92388,0.68114,1.03543,0.57782,1.40956,0.000359,0.000359,0.000359
74,6745.86,0.73989,0.5346,1.14007,0.94061,0.87092,0.93728,0.68495,1.03992,0.54207,1.40546,0.000346625,0.000346625,0.000346625
75,6834.63,0.73714,0.52746,1.12661,0.9356,0.88742,0.93816,0.68887,1.04145,0.55017,1.4106,0.00033425,0.00033425,0.00033425
76,6923.63,0.71615,0.49983,1.12113,0.94555,0.88243,0.93374,0.68466,1.0482,0.57092,1.42619,0.000321875,0.000321875,0.000321875
77,7012.45,0.72106,0.50822,1.12295,0.9263,0.88044,0.93752,0.68568,1.03527,0.55365,1.4191,0.0003095,0.0003095,0.0003095
78,7101,0.71183,0.50232,1.11918,0.9394,0.87729,0.9414,0.69121,1.02853,0.55092,1.40949,0.000297125,0.000297125,0.000297125
79,7191.95,0.70479,0.50779,1.12188,0.91016,0.89384,0.93795,0.6941,1.02355,0.54666,1.41017,0.00028475,0.00028475,0.00028475
